Distance (km),Vehicle Type,Fuel Type,Route Type,Time of Day,CO2 Emissions (g/km)
11,Bicycle,None,Rural,Evening,0
50,Car,Gasoline,Urban,Morning,180
94,Car,Gasoline,Urban,Morning,180
61,Bus,None,Rural,Afternoon,80
28,Car,Gasoline,Urban,Morning,180
3,Walking,None,Rural,Afternoon,0
63,Walking,None,Rural,Evening,0
21,Car,Gasoline,Urban,Morning,180
7,Bicycle,None,Rural,Evening,0
47,Bicycle,None,Urban,Evening,0
42,Car,Gasoline,Urban,Morning,180
55,Bus,None,Urban,Afternoon,80
59,Bus,None,Urban,Evening,80
27,Bus,None,Urban,Evening,80
11,Bike,None,Rural,Morning,5
81,Bus,None,Rural,Afternoon,80
20,Bike,None,Urban,Afternoon,5
32,Bike,None,Rural,Afternoon,5
87,Car,Gasoline,Urban,Morning,180
14,Bike,None,Urban,Morning,5
44,Bus,None,Urban,Afternoon,80
73,Bus,None,Urban,Evening,80
41,Bus,None,Rural,Evening,80
66,Bike,None,Urban,Afternoon,5
61,Bus,None,Rural,Afternoon,80
69,Bike,None,Rural,Morning,5
76,Bike,None,Urban,Afternoon,5
17,Bike,None,Urban,Evening,5
69,Bike,None,Urban,Afternoon,5
57,Bus,None,Rural,Afternoon,80
88,Bike,None,Rural,Morning,5
26,Car,Gasoline,Urban,Morning,180
25,Car,Gasoline,Urban,Evening,180
98,Bus,None,Rural,Afternoon,80
53,Bus,None,Urban,Afternoon,80
72,Bus,None,Urban,Evening,80
59,Bus,None,Rural,Evening,80
80,Bus,None,Urban,Evening,80
88,Bus,None,Urban,Afternoon,80
76,Bike,None,Rural,Morning,5
14,Bicycle,None,Rural,Evening,0
14,Bike,None,Urban,Morning,5
83,Bike,None,Urban,Evening,5
49,Bus,None,Rural,Afternoon,80
38,Bike,None,Rural,Morning,5
6,Bicycle,None,Rural,Morning,0
56,Bicycle,None,Rural,Evening,0
18,Bicycle,None,Urban,Evening,0
9,Bike,None,Urban,Evening,5
7,Bicycle,None,Rural,Evening,0
89,Bicycle,None,Urban,Evening,0
47,Bike,None,Urban,Afternoon,5
43,Bike,None,Rural,Evening,5
60,Bus,None,Rural,Afternoon,80
35,Car,Gasoline,Urban,Morning,180
39,Car,Gasoline,Rural,Evening,180
54,Car,Gasoline,Rural,Evening,180
26,Car,Gasoline,Urban,Morning,180
54,Bike,None,Urban,Afternoon,5
58,Bike,None,Urban,Afternoon,5
86,Car,Gasoline,Urban,Morning,180
12,Bike,None,Urban,Afternoon,5
7,Bicycle,None,Urban,Morning,0
13,Bike,None,Rural,Afternoon,5
25,Bike,None,Urban,Evening,5
97,Bus,None,Urban,Afternoon,80
8,Bicycle,None,Rural,Evening,0
11,Bike,None,Urban,Afternoon,5
75,Bike,None,Urban,Afternoon,5
73,Car,Gasoline,Urban,Morning,180
96,Bus,None,Rural,Afternoon,80
59,Bus,None,Rural,Afternoon,80
62,Bike,None,Rural,Afternoon,5
63,Bus,None,Rural,Afternoon,80
55,Bike,None,Rural,Morning,5
97,Bus,None,Urban,Afternoon,80
36,Car,Gasoline,Urban,Morning,180
63,Bus,None,Rural,Afternoon,80
29,Bike,None,Urban,Afternoon,5
93,Bike,None,Urban,Evening,5
24,Bike,None,Urban,Evening,5
59,Car,Gasoline,Urban,Morning,180
66,Bike,None,Rural,Afternoon,5
65,Car,Gasoline,Urban,Morning,180
22,Bike,None,Rural,Morning,5
58,Bike,None,Rural,Evening,5
64,Bike,None,Rural,Morning,5
19,Bike,None,Urban,Afternoon,5
62,Bike,None,Urban,Afternoon,5
8,Bike,None,Urban,Afternoon,5
9,Bike,None,Urban,Morning,5
48,Bike,None,Rural,Morning,5
89,Bike,None,Urban,Evening,5
34,Bike,None,Urban,Evening,5
54,Bus,None,Urban,Afternoon,80
51,Car,Gasoline,Urban,Morning,180
8,Bike,None,Urban,Morning,5
77,Bike,None,Rural,Morning,5
59,Bike,None,Urban,Evening,5
8,Bike,None,Urban,Afternoon,5
27,Bus,None,Urban,Afternoon,80
44,Car,Gasoline,Urban,Morning,180
66,Car,Gasoline,Rural,Evening,180
99,Bus,None,Urban,Afternoon,80
40,Bike,None,Urban,Afternoon,5
73,Bike,None,Urban,Evening,5
33,Bike,None,Urban,Evening,5
53,Car,Gasoline,Urban,Morning,180
52,Bike,None,Rural,Morning,5
53,Car,Gasoline,Urban,Morning,180
47,Bike,None,Rural,Afternoon,5
40,Bike,None,Rural,Morning,5
15,Bike,None,Urban,Afternoon,5
20,Car,Gasoline,Urban,Morning,180
71,Bus,None,Urban,Afternoon,80
13,Bike,None,Rural,Morning,5
26,Bike,None,Urban,Evening,5
55,Bike,None,Rural,Morning,5
87,Bike,None,Rural,Evening,5
67,Car,Gasoline,Urban,Morning,180
44,Car,Gasoline,Urban,Morning,180
32,Bus,None,Rural,Afternoon,80
75,Bus,None,Urban,Evening,80
86,Bus,None,Urban,Evening,80
49,Bus,None,Rural,Afternoon,80
37,Bike,None,Rural,Morning,5
85,Bike,None,Urban,Evening,5
86,Bike,None,Rural,Evening,5
71,Bus,None,Urban,Afternoon,80
2,Walking,None,Urban,Morning,0
82,Bus,None,Urban,Afternoon,80
35,Bike,None,Rural,Afternoon,5
65,Bus,None,Urban,Afternoon,80
65,Car,Gasoline,Urban,Morning,180
45,Bus,None,Rural,Afternoon,80
46,Car,Gasoline,Urban,Morning,180
2,Walking,None,Urban,Afternoon,0
61,Walking,None,Urban,Evening,0
76,Walking,None,Rural,Evening,0
82,Bus,None,Rural,Afternoon,80
62,Bus,None,Urban,Evening,80
47,Bike,None,Rural,Morning,5
26,Bike,None,Rural,Evening,5
100,Bus,None,Urban,Morning,80
90,Bike,None,Rural,Morning,5
90,Bike,None,Rural,Morning,5
90,Bike,None,Urban,Evening,5
55,Bus,None,Urban,Afternoon,80
62,Bus,None,Urban,Afternoon,80
100,Bus,None,Rural,Afternoon,80
58,Bus,None,Rural,Evening,80
31,Car,Gasoline,Urban,Morning,180
100,Bus,None,Urban,Evening,80
89,Bus,None,Urban,Evening,80
82,Bus,None,Rural,Evening,80
56,Bike,None,Rural,Afternoon,5
26,Bike,None,Rural,Morning,5
27,Car,Gasoline,Urban,Morning,180
88,Car,Gasoline,Urban,Morning,180
20,Car,Gasoline,Urban,Morning,180
41,Bike,None,Urban,Afternoon,5
43,Bike,None,Rural,Morning,5
36,Car,Gasoline,Urban,Morning,180
6,Bicycle,None,Rural,Evening,0
85,Bike,None,Rural,Morning,5
56,Bus,None,Urban,Afternoon,80
82,Car,Gasoline,Urban,Morning,180
56,Bike,None,Urban,Afternoon,5
16,Bike,None,Rural,Afternoon,5
38,Car,Gasoline,Urban,Morning,180
90,Bike,None,Urban,Afternoon,5
99,Bus,None,Rural,Morning,80
16,Bus,None,Rural,Evening,80
98,Bus,None,Urban,Morning,80
76,Bus,None,Urban,Evening,80
57,Bus,None,Urban,Evening,80
26,Bus,None,Urban,Evening,80
91,Bus,None,Rural,Evening,80
50,Car,Gasoline,Urban,Morning,180
72,Bike,None,Rural,Morning,5
68,Bike,None,Urban,Afternoon,5
25,Car,Gasoline,Urban,Morning,180
77,Car,Gasoline,Urban,Morning,180
10,Bike,None,Urban,Evening,5
39,Bus,None,Urban,Afternoon,80
35,Bike,None,Rural,Morning,5
65,Car,Gasoline,Urban,Morning,180
22,Car,Gasoline,Rural,Evening,180
96,Bus,None,Rural,Evening,80
88,Bus,None,Rural,Evening,80
77,Bike,None,Urban,Afternoon,5
39,Bike,None,Rural,Evening,5
24,Bike,None,Rural,Morning,5
47,Bike,None,Rural,Morning,5
61,Bike,None,Rural,Morning,5
19,Bike,None,Rural,Morning,5
40,Bus,None,Urban,Afternoon,80
55,Bus,None,Urban,Evening,80
91,Bus,None,Rural,Evening,80
58,Bike,None,Rural,Morning,5
49,Bike,None,Rural,Evening,5
83,Bike,None,Rural,Evening,5
47,Bike,None,Urban,Afternoon,5
43,Bike,None,Rural,Evening,5
2,Walking,None,Urban,Evening,0
21,Walking,None,Rural,Evening,0
19,Bike,None,Rural,Afternoon,5
79,Bike,None,Rural,Afternoon,5
53,Bike,None,Rural,Evening,5
76,Bike,None,Urban,Evening,5
55,Bike,None,Rural,Evening,5
38,Bike,None,Rural,Evening,5
71,Car,Gasoline,Urban,Morning,180
32,Car,Gasoline,Rural,Evening,180
62,Car,Gasoline,Urban,Evening,180
64,Bike,None,Rural,Morning,5
56,Bike,None,Rural,Morning,5
84,Bus,None,Urban,Afternoon,80
14,Bike,None,Rural,Morning,5
46,Bus,None,Rural,Afternoon,80
72,Bike,None,Rural,Morning,5
55,Car,Gasoline,Urban,Morning,180
81,Bus,None,Rural,Afternoon,80
34,Bus,None,Urban,Afternoon,80
53,Bus,None,Urban,Evening,80
56,Bike,None,Rural,Morning,5
49,Bike,None,Rural,Evening,5
42,Bike,None,Rural,Afternoon,5
85,Bike,None,Rural,Morning,5
18,Bike,None,Rural,Morning,5
77,Bike,None,Urban,Evening,5
83,Bike,None,Rural,Evening,5
92,Bike,None,Urban,Afternoon,5
13,Bike,None,Rural,Morning,5
82,Bus,None,Rural,Afternoon,80
13,Bike,None,Urban,Morning,5
48,Bike,None,Rural,Evening,5
13,Bike,None,Rural,Afternoon,5
4,Bicycle,None,Rural,Afternoon,0
93,Bike,None,Rural,Morning,5
13,Bike,None,Urban,Afternoon,5
100,Bus,None,Rural,Morning,80
60,Bike,None,Urban,Afternoon,5
10,Bicycle,None,Rural,Afternoon,0
77,Bicycle,None,Rural,Evening,0
88,Bike,None,Rural,Afternoon,5
56,Bike,None,Rural,Evening,5
75,Bike,None,Urban,Evening,5
95,Bus,None,Urban,Morning,80
58,Bus,None,Urban,Evening,80
10,Bicycle,None,Rural,Afternoon,0
23,Bike,None,Rural,Morning,5
59,Bike,None,Rural,Evening,5
62,Car,Gasoline,Urban,Morning,180
27,Bike,None,Rural,Afternoon,5
1,Walking,None,Urban,Afternoon,0
91,Bus,None,Urban,Afternoon,80
12,Bike,None,Urban,Evening,5
98,Bus,None,Rural,Afternoon,80
33,Bike,None,Rural,Morning,5
67,Car,Gasoline,Urban,Morning,180
49,Bike,None,Urban,Afternoon,5
76,Bus,None,Rural,Afternoon,80
27,Bike,None,Rural,Morning,5
31,Bike,None,Rural,Evening,5
2,Walking,None,Urban,Evening,0
30,Bike,None,Urban,Afternoon,5
48,Bike,None,Urban,Evening,5
20,Bike,None,Urban,Evening,5
9,Bicycle,None,Rural,Morning,0
96,Bus,None,Urban,Morning,80
55,Bike,None,Rural,Morning,5
69,Bike,None,Urban,Evening,5
29,Bike,None,Urban,Evening,5
32,Bus,None,Rural,Afternoon,80
45,Bike,None,Rural,Morning,5
79,Bike,None,Rural,Afternoon,5
56,Bike,None,Urban,Evening,5
15,Bike,None,Urban,Afternoon,5
35,Bike,None,Rural,Evening,5
42,Bike,None,Urban,Afternoon,5
76,Bike,None,Rural,Evening,5
98,Bus,None,Rural,Afternoon,80
80,Bus,None,Rural,Evening,80
1,Walking,None,Urban,Evening,0
48,Bike,None,Urban,Afternoon,5
26,Bike,None,Rural,Evening,5
77,Bus,None,Urban,Afternoon,80
16,Car,Gasoline,Urban,Morning,180
25,Car,Gasoline,Urban,Evening,180
43,Bike,None,Rural,Morning,5
30,Bus,None,Rural,Afternoon,80
96,Bus,None,Rural,Afternoon,80
3,Walking,None,Urban,Afternoon,0
99,Bus,None,Urban,Morning,80
95,Bus,None,Urban,Afternoon,80
85,Bike,None,Rural,Afternoon,5
12,Bike,None,Urban,Afternoon,5
72,Bus,None,Rural,Afternoon,80
39,Bus,None,Urban,Evening,80
62,Bike,None,Rural,Morning,5
60,Car,Gasoline,Urban,Morning,180
68,Bike,None,Rural,Morning,5
39,Bus,None,Urban,Afternoon,80
30,Bus,None,Urban,Afternoon,80
30,Bus,None,Rural,Afternoon,80
51,Bus,None,Urban,Evening,80
13,Bike,None,Rural,Evening,5
46,Bus,None,Rural,Afternoon,80
87,Bus,None,Urban,Evening,80
33,Bus,None,Urban,Evening,80
57,Car,Gasoline,Urban,Morning,180
82,Car,Gasoline,Urban,Morning,180
80,Bike,None,Rural,Afternoon,5
75,Bike,None,Rural,Evening,5
74,Bus,None,Rural,Afternoon,80
80,Car,Gasoline,Urban,Morning,180
90,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Evening,5
62,Bike,None,Rural,Evening,5
90,Bike,None,Rural,Morning,5
45,Bike,None,Rural,Morning,5
14,Bike,None,Urban,Morning,5
83,Bike,None,Urban,Evening,5
33,Bus,None,Urban,Afternoon,80
5,Bicycle,None,Rural,Afternoon,0
25,Car,Gasoline,Urban,Morning,180
67,Bike,None,Rural,Morning,5
62,Car,Gasoline,Urban,Morning,180
65,Car,Gasoline,Rural,Evening,180
91,Car,Gasoline,Urban,Evening,180
93,Bus,None,Rural,Afternoon,80
72,Car,Gasoline,Urban,Morning,180
20,Bus,None,Urban,Afternoon,80
55,Bike,None,Rural,Morning,5
40,Bike,None,Rural,Morning,5
91,Bike,None,Rural,Evening,5
23,Bus,None,Urban,Afternoon,80
47,Bus,None,Rural,Evening,80
95,Bus,None,Urban,Morning,80
94,Bus,None,Rural,Evening,80
54,Bike,None,Rural,Afternoon,5
63,Bike,None,Rural,Afternoon,5
42,Bike,None,Rural,Morning,5
19,Car,Gasoline,Urban,Morning,180
15,Bike,None,Urban,Morning,5
72,Car,Gasoline,Urban,Morning,180
8,Bicycle,None,Rural,Afternoon,0
25,Bike,None,Rural,Afternoon,5
34,Bike,None,Rural,Afternoon,5
76,Bike,None,Urban,Evening,5
36,Bike,None,Urban,Afternoon,5
56,Bike,None,Rural,Afternoon,5
35,Car,Gasoline,Urban,Morning,180
34,Bike,None,Rural,Morning,5
84,Bike,None,Rural,Evening,5
99,Bus,None,Rural,Evening,80
79,Car,Gasoline,Urban,Morning,180
92,Car,Gasoline,Urban,Evening,180
66,Car,Gasoline,Urban,Evening,180
68,Car,Gasoline,Urban,Morning,180
46,Car,Gasoline,Urban,Evening,180
2,Walking,None,Rural,Morning,0
70,Walking,None,Urban,Evening,0
74,Bus,None,Rural,Afternoon,80
97,Bus,None,Urban,Afternoon,80
11,Bicycle,None,Rural,Morning,0
59,Bike,None,Urban,Afternoon,5
71,Bus,None,Rural,Afternoon,80
3,Walking,None,Rural,Evening,0
85,Walking,None,Rural,Evening,0
95,Walking,None,Rural,Evening,0
21,Bike,None,Rural,Morning,5
34,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Morning,5
64,Bike,None,Urban,Evening,5
69,Bike,None,Urban,Evening,5
68,Bike,None,Rural,Morning,5
96,Bus,None,Rural,Morning,80
47,Bus,None,Urban,Afternoon,80
79,Bike,None,Rural,Morning,5
87,Bike,None,Rural,Morning,5
100,Bus,None,Rural,Evening,80
18,Bus,None,Rural,Evening,80
4,Bicycle,None,Urban,Evening,0
96,Bus,None,Urban,Afternoon,80
43,Bike,None,Rural,Afternoon,5
19,Bike,None,Rural,Evening,5
10,Bicycle,None,Rural,Afternoon,0
15,Bicycle,None,Rural,Afternoon,0
29,Bicycle,None,Rural,Evening,0
84,Bicycle,None,Urban,Evening,0
50,Bus,None,Rural,Afternoon,80
53,Bike,None,Urban,Afternoon,5
48,Bike,None,Rural,Evening,5
1,Walking,None,Urban,Evening,0
21,Car,Gasoline,Urban,Morning,180
6,Bicycle,None,Rural,Evening,0
1,Walking,None,Rural,Afternoon,0
16,Bus,None,Rural,Afternoon,80
64,Bus,None,Rural,Evening,80
81,Bus,None,Rural,Evening,80
53,Bike,None,Rural,Morning,5
8,Bicycle,None,Rural,Evening,0
53,Bicycle,None,Urban,Evening,0
39,Car,Gasoline,Urban,Morning,180
59,Bike,None,Rural,Morning,5
83,Bike,None,Rural,Morning,5
34,Car,Gasoline,Urban,Morning,180
58,Car,Gasoline,Rural,Evening,180
79,Car,Gasoline,Rural,Evening,180
83,Bus,None,Rural,Afternoon,80
31,Bus,None,Urban,Afternoon,80
67,Bus,None,Urban,Evening,80
75,Bike,None,Rural,Morning,5
88,Bike,None,Rural,Morning,5
58,Bike,None,Rural,Evening,5
51,Bike,None,Rural,Evening,5
87,Bike,None,Urban,Evening,5
64,Bike,None,Urban,Afternoon,5
30,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Afternoon,5
2,Walking,None,Rural,Afternoon,0
72,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Afternoon,80
39,Car,Gasoline,Urban,Morning,180
8,Bicycle,None,Rural,Afternoon,0
56,Bicycle,None,Rural,Evening,0
46,Bike,None,Rural,Morning,5
63,Bike,None,Urban,Evening,5
88,Bike,None,Rural,Evening,5
6,Bicycle,None,Rural,Afternoon,0
55,Bicycle,None,Rural,Evening,0
94,Car,Gasoline,Urban,Morning,180
94,Car,Gasoline,Urban,Evening,180
35,Car,Gasoline,Rural,Evening,180
51,Bike,None,Rural,Morning,5
42,Car,Gasoline,Urban,Morning,180
30,Car,Gasoline,Rural,Evening,180
31,Car,Gasoline,Urban,Evening,180
36,Bike,None,Urban,Afternoon,5
80,Bike,None,Rural,Morning,5
5,Bicycle,None,Rural,Morning,0
81,Bicycle,None,Urban,Evening,0
70,Bike,None,Rural,Morning,5
84,Bike,None,Urban,Evening,5
81,Car,Gasoline,Urban,Morning,180
49,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Evening,5
9,Bike,None,Urban,Afternoon,5
18,Bus,None,Urban,Afternoon,80
39,Bike,None,Urban,Afternoon,5
12,Bike,None,Urban,Morning,5
42,Bus,None,Urban,Afternoon,80
48,Bus,None,Rural,Evening,80
85,Bike,None,Urban,Afternoon,5
85,Bike,None,Rural,Morning,5
36,Bike,None,Urban,Evening,5
20,Bike,None,Rural,Morning,5
61,Bike,None,Rural,Evening,5
18,Bike,None,Rural,Morning,5
17,Bike,None,Rural,Evening,5
64,Car,Gasoline,Urban,Morning,180
96,Bus,None,Urban,Evening,80
4,Bicycle,None,Urban,Evening,0
17,Bus,None,Rural,Afternoon,80
49,Bus,None,Urban,Evening,80
4,Bicycle,None,Rural,Evening,0
25,Bicycle,None,Urban,Evening,0
24,Bus,None,Rural,Afternoon,80
8,Bike,None,Urban,Afternoon,5
96,Bus,None,Rural,Afternoon,80
84,Bike,None,Rural,Afternoon,5
60,Bike,None,Rural,Evening,5
21,Bike,None,Urban,Evening,5
62,Bus,None,Urban,Afternoon,80
87,Bus,None,Urban,Evening,80
34,Bus,None,Urban,Afternoon,80
14,Bike,None,Rural,Afternoon,5
52,Bike,None,Rural,Evening,5
84,Bus,None,Rural,Afternoon,80
53,Bus,None,Urban,Evening,80
63,Bus,None,Rural,Evening,80
71,Bus,None,Rural,Evening,80
12,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Morning,80
22,Bus,None,Urban,Evening,80
33,Bike,None,Rural,Morning,5
53,Bike,None,Rural,Afternoon,5
53,Bike,None,Urban,Evening,5
77,Bike,None,Urban,Evening,5
94,Car,Gasoline,Urban,Morning,180
46,Bus,None,Rural,Afternoon,80
73,Bike,None,Rural,Afternoon,5
70,Bike,None,Urban,Evening,5
93,Bike,None,Rural,Afternoon,5
68,Bike,None,Rural,Morning,5
89,Bike,None,Rural,Afternoon,5
10,Bicycle,None,Rural,Evening,0
39,Bike,None,Urban,Afternoon,5
91,Bus,None,Urban,Afternoon,80
72,Car,Gasoline,Urban,Morning,180
84,Car,Gasoline,Urban,Morning,180
14,Bike,None,Urban,Morning,5
43,Bike,None,Urban,Afternoon,5
69,Bike,None,Rural,Morning,5
70,Bike,None,Urban,Evening,5
